OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
210,2020/10/10 10:00:00+00,513,10732,18887,16390,1057,680,2069,1163,2922,633,4314,79,3246,5391,320,23505,30621,699,341,1363,583,1972,2190,1125,0
211,2020/10/11 10:00:00+00,524,10787,18974,16448,1066,683,2079,1168,2935,639,4340,81,3262,5422,322,23601,30692,704,342,1370,587,1986,2216,1129,0
212,2020/10/12 10:00:00+00,525,10875,19043,16508,1073,683,2086,1172,2942,642,4359,82,3272,5459,322,23696,30762,704,343,1371,589,1993,2230,1130,0
213,2020/10/13 10:00:00+00,528,10915,19102,16543,1074,684,2092,1179,2947,642,4379,82,3288,5473,325,23817,30878,705,345,1373,589,2008,2242,1133,0
214,2020/10/14 10:00:00+00,536,10986,19176,16584,1078,686,2099,1190,2962,644,4399,87,3317,5487,325,23926,30969,711,358,1375,593,2039,2248,1143,0
215,2020/10/15 10:00:00+00,538,11053,19275,16647,1082,688,2108,1192,2983,653,4436,88,3335,5508,326,24015,31102,714,363,1382,596,2054,2259,1151,0
216,2020/10/16 10:00:00+00,543,11151,19403,16681,1098,687,2120,1244,2991,661,4464,94,3353,5534,326,24174,31210,719,368,1385,602,2075,2287,1159,0
217,2020/10/17 10:00:00+00,551,11222,19494,16773,1113,699,2128,1262,3007,679,4498,96,3374,5566,326,24291,31367,725,377,1392,610,2093,2320,1164,0
218,2020/10/18 10:00:00+00,561,11265,19565,16842,1117,704,2137,1269,3018,687,4519,100,3395,5580,329,24395,31442,734,383,1395,619,2099,2337,1165,0
219,2020/10/19 10:00:00+00,569,11336,19646,16906,1120,704,2141,1275,3029,695,4534,105,3417,5605,332,24466,31497,736,387,1400,621,2108,2357,1168,0
220,2020/10/20 10:00:00+00,587,11391,19749,16937,1132,710,2152,1284,3041,711,4546,106,3430,5628,332,24560,31617,740,395,1409,623,2116,2374,1174,0
221,2020/10/21 10:00:00+00,594,11433,19799,17000,1141,713,2159,1291,3050,715,4559,108,3448,5647,334,24664,31695,742,398,1416,627,2137,2385,1181,0
222,2020/10/22 10:00:00+00,604,11514,19897,17079,1145,721,2168,1299,3067,735,4581,115,3482,5684,336,24772,31844,743,401,1420,631,2158,2397,1186,0
223,2020/10/23 10:00:00+00,614,11568,19980,17181,1153,726,2175,1307,3078,742,4610,117,3492,5716,338,24877,31999,758,404,1429,636,2182,2418,1191,0
224,2020/10/24 10:00:00+00,624,11645,20108,17312,1158,729,2192,1310,3090,761,4643,123,3513,5743,338,24984,32121,762,409,1443,636,2211,2434,1198,0
225,2020/10/25 10:00:00+00,635,11724,20208,17440,1162,732,2202,1322,3113,769,4678,126,3529,5777,338,25147,32225,767,410,1452,641,2229,2451,1202,0
226,2020/10/26 10:00:00+00,646,11778,20273,17506,1170,736,2211,1325,3136,775,4700,130,3541,5801,340,25281,32292,768,410,1459,643,2239,2480,1204,0
227,2020/10/27 10:00:00+00,660,11872,20419,17581,1176,740,2219,1340,3154,779,4721,139,3555,5845,342,25438,32499,773,419,1470,645,2252,2493,1210,0
228,2020/10/28 10:00:00+00,679,11921,20510,17664,1184,740,2231,1348,3168,782,4748,142,3583,5865,343,25562,32648,777,421,1475,647,2281,2494,1212,0
229,2020/10/29 10:00:00+00,693,12040,20670,17774,1188,750,2258,1354,3187,797,4786,147,3612,5894,343,25692,32800,784,427,1497,651,2304,2519,1220,0
230,2020/10/30 10:00:00+00,735,12115,20867,17850,1195,753,2278,1365,3208,808,4826,147,3649,5930,343,25831,32937,798,435,1501,655,2327,2539,1222,0
231,2020/10/31 10:00:00+00,766,12202,21017,17976,1204,760,2294,1372,3226,821,4857,150,3680,5959,346,25993,33111,802,438,1504,658,2358,2554,1233,0
232,2020/11/01 10:00:00+00,775,12256,21194,18100,1212,765,2301,1381,3247,829,4909,150,3726,5988,348,26114,33248,804,439,1507,660,2378,2572,1242,0
233,2020/11/02 10:00:00+00,791,12361,21349,18211,1216,767,2311,1390,3263,833,4936,154,3747,6019,348,26277,33360,806,451,1510,663,2393,2590,1249,0
234,2020/11/03 10:00:00+00,845,12448,21479,18292,1224,767,2330,1398,3273,835,4951,161,3768,6059,349,26398,33488,812,454,1515,662,2404,2601,1253,0
235,2020/11/04 10:00:00+00,884,12540,21605,18457,1230,767,2354,1407,3299,837,4987,165,3820,6085,349,26551,33651,818,462,1524,663,2445,2612,1254,0
236,2020/11/05 10:00:00+00,923,12653,21795,18610,1243,772,2364,1427,3324,839,5030,168,3873,6132,353,26777,33821,822,476,1529,668,2479,2628,1258,0
237,2020/11/06 10:00:00+00,972,12795,22046,18824,1265,774,2396,1439,3377,848,5069,172,3948,6195,354,26996,34070,826,484,1558,668,2514,2647,1268,0
238,2020/11/07 10:00:00+00,1023,12970,22267,19065,1270,777,2421,1459,3419,858,5116,174,3999,6261,355,27169,34246,835,489,1571,670,2557,2671,1273,0
239,2020/11/08 10:00:00+00,1051,13067,22427,19196,1274,778,2451,1466,3443,869,5166,181,4076,6302,355,27342,34384,837,492,1591,673,2612,2687,1276,0
240,2020/11/09 10:00:00+00,1119,13224,22668,19358,1283,781,2474,1473,3484,873,5211,189,4130,6376,355,27546,34589,840,495,1601,674,2632,2714,1282,0
241,2020/11/10 10:00:00+00,1156,13335,22864,19549,1294,783,2504,1489,3516,874,5257,194,4188,6443,360,27731,34856,848,506,1608,674,2664,2728,1288,0
242,2020/11/11 10:00:00+00,1245,13495,23104,19768,1300,785,2551,1508,3553,878,5318,209,4272,6517,363,27969,35146,856,510,1630,678,2725,2741,1302,0
243,2020/11/12 10:00:00+00,1273,13595,23392,20006,1313,786,2592,1526,3592,886,5373,211,4329,6581,366,28146,35336,870,517,1651,685,2787,2776,1311,0
244,2020/11/13 10:00:00+00,1399,13751,23682,20197,1341,798,2615,1539,3616,898,5441,240,4408,6656,369,28385,35666,885,529,1670,689,2875,2800,1320,0
245,2020/11/14 10:00:00+00,1520,13948,24013,20470,1350,804,2682,1570,3670,905,5495,274,4532,6731,370,28727,36052,902,532,1702,697,2955,2849,1340,0
246,2020/11/15 10:00:00+00,1606,14129,24285,20737,1365,810,2703,1596,3717,910,5565,305,4616,6791,372,28989,36269,908,540,1731,708,3038,2884,1356,0
247,2020/11/16 10:00:00+00,1664,14307,24594,21010,1373,819,2737,1640,3738,911,5616,312,4749,6843,374,29205,36486,927,541,1749,715,3070,2914,1362,0
248,2020/11/17 10:00:00+00,1771,14480,24897,21186,1388,823,2780,1669,3790,918,5703,328,4828,6945,376,29571,36905,937,575,1771,719,3112,2956,1377,0
249,2020/11/18 10:00:00+00,1889,14660,25253,21409,1402,825,2845,1694,3831,919,5778,366,4959,7005,377,29833,37184,946,584,1786,723,3187,2992,1376,0
250,2020/11/19 10:00:00+00,1990,14931,25753,21783,1430,839,2880,1744,3880,929,5859,408,5102,7106,387,30298,37581,963,609,1815,726,3295,3033,1392,0
251,2020/11/20 10:00:00+00,2115,15103,26088,22010,1439,844,2930,1795,3938,932,5943,447,5184,7201,391,30580,38053,990,636,1851,733,3409,3071,1403,0
252,2020/11/21 10:00:00+00,2282,15294,26583,22466,1456,860,2978,1820,3990,950,6036,470,5344,7340,399,30882,38428,1001,727,1889,742,3509,3112,1413,0
253,2020/11/22 10:00:00+00,2421,15471,26967,22699,1468,869,3020,1857,4025,961,6139,496,5461,7398,404,31176,38699,1010,742,1935,749,3601,3148,1423,0
254,2020/11/23 10:00:00+00,2493,15587,27223,22932,1480,878,3052,1890,4065,968,6198,504,5537,7488,410,31389,38985,1027,743,1949,761,3651,3172,1415,0
255,2020/11/24 10:00:00+00,2593,15715,27402,23087,1495,890,3092,1923,4104,970,6267,545,5600,7542,413,31622,39297,1033,761,1983,781,3710,3214,1425,0
256,2020/11/25 10:00:00+00,2734,15939,27780,23361,1521,902,3135,1944,4158,970,6385,612,5714,7638,416,32005,39790,1045,777,2012,786,3847,3261,1429,0
257,2020/11/26 10:00:00+00,2830,16114,28146,23682,1528,919,3174,1979,4184,988,6485,657,5805,7803,425,32259,40095,1049,810,2028,793,3982,3305,1440,0
258,2020/11/27 10:00:00+00,2962,16297,28504,23955,1537,938,3222,2023,4254,996,6575,682,5875,7917,428,32601,40479,1061,823,2063,801,4074,3348,1443,0
259,2020/11/28 10:00:00+00,3028,16404,28752,24120,1555,945,3254,2045,4276,998,6660,701,5940,7961,435,32790,40797,1074,886,2075,805,4116,3377,1454,0
260,2020/11/29 10:00:00+00,3093,16585,29008,24309,1583,952,3291,2078,4317,1004,6773,728,6026,8066,438,33103,41067,1083,910,2118,811,4240,3402,1462,0
261,2020/11/30 10:00:00+00,3168,16742,29315,24521,1598,972,3327,2109,4391,1011,6871,755,6099,8155,448,33400,41297,1097,918,2153,819,4281,3440,1483,0
262,2020/12/01 10:00:00+00,3366,16919,29645,24762,1611,983,3366,2156,4434,1021,6949,788,6160,8252,466,33905,41857,1108,1061,2174,824,4375,3462,1491,0
263,2020/12/02 10:00:00+00,3466,17166,29897,25006,1635,990,3415,2199,4502,1030,7123,817,6234,8343,467,34159,42190,1111,1102,2210,830,4469,3490,1504,0
264,2020/12/03 10:00:00+00,3597,17318,30187,25270,1660,1003,3442,2242,4522,1034,7249,874,6294,8410,472,34425,42458,1135,1117,2240,836,4570,3530,1514,0
265,2020/12/04 10:00:00+00,3900,17627,30671,25686,1687,1030,3517,2288,4593,1045,7425,915,6405,8561,486,35056,43000,1159,1127,2295,848,4764,3570,1536,0
